Ward,City,State,Latitude,Longitude,Last_Date,Critical_Count,High_Count,Medium_Count,Low_Count,Total,Avg_Complaints,Max_Complaints,Top_Issue,Top_Season,Top_Cluster,Hotspot_Level,Priority_Score,Real_Incident
Ward_32,Kochi,Kerala,9.9462,76.2373,2024-04-12,3,2,0,1,6,391.33,599,Crowd Management,Winter,Public Event & Gathering,CRITICAL,18,"Kochi-Muziris Biennale - 6L+ visitors, Fort Kochi crowd & waste issues"
Ward_13,Chennai,Tamil Nadu,13.0977,80.2557,2024-02-06,4,0,1,0,5,447.4,582,Water Supply,Summer,Summer Water Service,CRITICAL,18,"Chennai Day Zero 2019 - 4 reservoirs dry, water tanker queues 5km long"
Ward_20,Indore,Madhya Pradesh,22.7496,75.7977,2023-11-03,3,1,1,0,5,416.2,497,Water Supply,Summer,Summer Water Service,CRITICAL,17,"Yashwant Sagar reservoir low - alternate day supply, Indore summer 2024"
Ward_45,Kolkata,West Bengal,22.5876,88.3789,2024-06-23,3,1,1,0,5,423.0,582,Crowd Management,Winter,Festival Crowd & Waste,CRITICAL,17,"Durga Puja - 2500+ pandals, city-wide waste surge, 8M+ footfall"
Ward_31,Pune,Maharashtra,18.5204,73.8117,2024-08-29,3,0,2,1,6,358.5,564,Crowd Management,Monsoon,Public Event & Gathering,CRITICAL,16,Pune Festival & political mega-rallies - Shivaji Nagar crowd management failure
Ward_31,Panaji,Goa,15.4909,73.7828,2024-01-15,2,2,1,0,5,423.2,582,Solid Waste,Winter,Festival Crowd & Waste,CRITICAL,16,"Goa Carnival & Christmas - 5L+ tourists, beach waste & road congestion"
Ward_3,Jaipur,Rajasthan,26.8824,75.7123,2024-08-13,1,2,3,0,6,316.0,451,Crowd Management,Winter,Festival Crowd & Waste,CRITICAL,16,"Jaipur Literature Festival & Teej - 2L+ crowd, Pink City waste management failure"
Ward_20,Chennai,Tamil Nadu,13.1127,80.2107,2025-01-06,2,2,1,0,5,411.2,545,Solid Waste,Winter,Festival Crowd & Waste,CRITICAL,16,"Chennai Music Season (Dec-Jan) - Marina Beach Pongal crowd overflow, waste crisis"
Ward_18,Mumbai,Maharashtra,19.061,72.88,2022-03-12,1,0,0,0,1,50.0,50,Water Supply,Summer,Summer Water Service,CRITICAL,15,Major pipeline burst near Dharavi - 2 week shutdown
Ward_18,Pathanamthitta,Kerala,9.2498,76.847,2022-12-28,1,3,1,0,5,334.8,439,Crowd Management,Monsoon,Public Event & Gathering,CRITICAL,15,"Aranmula Boat Race - 3L+ spectators, river bank sanitation & crowd crisis"
Ward_43,Ahmedabad,Gujarat,23.0075,72.5564,2024-02-16,3,0,1,0,4,440.75,579,Crowd Management,Summer,Public Event & Gathering,CRITICAL,14,"Narendra Modi Stadium events - 1.3L crowd, traffic & waste crisis"
Ward_40,Hyderabad,Telangana,17.43,78.4267,2023-04-06,2,1,1,0,4,431.0,582,Sanitation,Winter,Tourist Season Sanitation,CRITICAL,13,"Charminar & Golconda tourist season - Eid & winter, 50K+ daily, waste crisis"
Ward_12,Mumbai,Maharashtra,19.076,72.8477,2023-07-21,2,1,1,0,4,412.25,573,Solid Waste,Monsoon,Festival Crowd & Waste,CRITICAL,13,"Ganesh Chaturthi - 1.5L+ idols immersed, severe beach & drain blockage"
Ward_8,Shimla,Himachal Pradesh,31.1498,77.1584,2024-12-13,1,3,0,0,4,339.0,444,Crowd Management,Winter,Public Event & Gathering,CRITICAL,13,Shimla Ice Skating carnival & HP govt events - tourist crowd overflow
Ward_31,Bengaluru,Karnataka,12.9716,77.5496,2024-07-13,2,1,1,0,4,424.5,586,Traffic,Winter,Public Event & Gathering,CRITICAL,13,"Bengaluru Tech Summit & Kannada Rajyotsava - 5L+ crowd, traffic collapse"
Ward_40,Kolkata,West Bengal,22.6176,88.3039,2024-11-09,1,2,1,1,5,279.0,484,Sanitation,Winter,Tourist Season Sanitation,CRITICAL,12,"Sundarbans & Victoria Memorial winter season - 2L+ visitors, waste surge"
Ward_15,Thiruvananthapuram,Kerala,8.5691,76.9516,2021-07-16,1,2,1,1,5,270.0,473,Sanitation,Winter,Tourist Season Sanitation,CRITICAL,12,"Kovalam & Varkala beach tourist season - plastic waste, Dec-Feb, 3L+ tourists"
Ward_2,Panaji,Goa,15.5059,73.7528,2023-11-23,1,2,1,0,4,381.75,593,Crowd Management,Winter,Public Event & Gathering,CRITICAL,12,"IFFI (International Film Festival of India) - 10K+ delegates, Panaji civic overload"
Ward_20,Jaipur,Rajasthan,26.9424,75.7273,2024-01-24,3,0,0,0,3,520.67,585,Crowd Management,Summer,Public Event & Gathering,CRITICAL,12,Pink City Marathon & Rajasthan Royals IPL - Sawai Mansingh Stadium overflow
Ward_26,Indore,Madhya Pradesh,22.7346,75.8877,2023-05-24,3,0,0,0,3,519.67,583,Traffic,Monsoon,Weekend Market Congestion,CRITICAL,12,"Sarafa Bazaar night market & Rajwada weekend - 1L+ visitors, traffic & waste crisis"
Ward_28,Chennai,Tamil Nadu,13.1277,80.3307,2023-12-04,1,2,1,0,4,376.0,589,Traffic,Summer,Weekend Market Congestion,CRITICAL,12,"T Nagar Pondy Bazaar weekend - 5L+ daily, India's busiest retail zone gridlock"
Ward_47,Bengaluru,Karnataka,13.0166,77.6396,2023-07-28,2,0,2,1,5,301.2,490,Crowd Management,Winter,Festival Crowd & Waste,CRITICAL,12,"Karaga Festival & Dasara - 5L+ crowd, KR Market area waste & traffic collapse"
Ward_44,Prayagraj,Uttar Pradesh,25.4358,81.8463,2021-10-03,0,2,3,1,6,256.33,419,Traffic,Winter,Weekend Market Congestion,CRITICAL,12,"Katra & Civil Lines weekend market - 1L+ shoppers, traffic & hawker congestion"
Ward_42,Pune,Maharashtra,18.4904,73.8267,2024-10-14,3,0,0,0,3,487.67,520,Water Supply,Summer,Summer Water Service,CRITICAL,12,"Khadakwasla dam 30% level - alternate day water supply, Pune 2024"
Ward_44,Hyderabad,Telangana,17.385,78.4867,2024-03-28,0,4,0,0,4,343.0,423,Water Supply,Summer,Summer Water Service,CRITICAL,12,"HMWS&SB water crisis - Himayatsagar low, 40% supply cut 2024"
Ward_40,Delhi,Delhi,28.6589,77.149,2023-07-29,3,0,0,0,3,509.0,562,Solid Waste,Winter,Festival Crowd & Waste,CRITICAL,12,"Diwali & Chhath Puja - Yamuna ghat overflow, 10L+ crowd, waste & pollution crisis"
Ward_21,Indore,Madhya Pradesh,22.7646,75.8127,2024-04-18,1,1,2,1,5,304.8,566,Crowd Management,Monsoon,Public Event & Gathering,CRITICAL,11,"Indore Walkathon Guinness record & rallies - 5L+ participants, civic overload"
Ward_30,Ahmedabad,Gujarat,23.0075,72.5114,2023-08-01,2,1,0,0,3,434.33,534,Water Supply,Summer,Summer Water Service,CRITICAL,11,"Ahmedabad Narmada supply cut - 50% reduction, May 2024, 70L affected"
